,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.509,0.498,0.532,0.497
bertscore_recall,0.652,0.558,0.56,0.497
bertscore_f1,0.587,0.522,0.563,0.52
bertscore-topk-5_precision,0.444,0.413,0.455,0.412
bertscore-topk-5_recall,0.593,0.522,0.524,0.451
bertscore-topk-5_f1,0.526,0.481,0.506,0.456
bertscore-topk-10_precision,0.472,0.43,0.493,0.456
bertscore-topk-10_recall,0.618,0.521,0.553,0.489
bertscore-topk-10_f1,0.553,0.484,0.547,0.491
bertscore-topk-20_precision,0.511,0.496,0.537,0.502
bertscore-topk-20_recall,0.638,0.55,0.555,0.494
bertscore-topk-20_f1,0.583,0.523,0.568,0.518
bertscore-topp-0.2_precision,0.421,0.413,0.433,0.391
bertscore-topp-0.2_recall,0.617,0.53,0.555,0.48
bertscore-topp-0.2_f1,0.534,0.485,0.519,0.456
bertscore-topp-0.5_precision,0.499,0.486,0.5,0.47
bertscore-topp-0.5_recall,0.657,0.561,0.565,0.504
bertscore-topp-0.5_f1,0.593,0.535,0.553,0.511
bertscore-topp-0.7_precision,0.511,0.496,0.522,0.497
bertscore-topp-0.7_recall,0.65,0.564,0.56,0.502
bertscore-topp-0.7_f1,0.594,0.527,0.562,0.528
bertscore-sentence-cos-mpnet_P,0.463,0.482,0.525,0.516
bertscore-sentence-cos-mpnet_R,0.548,0.458,0.456,0.411
bertscore-sentence-cos-mpnet_F,0.583,0.493,0.527,0.493
bertscore-sentence-cos-mpnet-topk-5_P,0.451,0.426,0.443,0.38
bertscore-sentence-cos-mpnet-topk-5_R,0.516,0.444,0.454,0.388
bertscore-sentence-cos-mpnet-topk-5_F,0.523,0.451,0.474,0.402
bertscore-sentence-cos-mpnet-topk-10_P,0.457,0.445,0.488,0.436
bertscore-sentence-cos-mpnet-topk-10_R,0.525,0.435,0.459,0.401
bertscore-sentence-cos-mpnet-topk-10_F,0.547,0.454,0.507,0.448
bertscore-sentence-cos-mpnet-topk-20_P,0.474,0.466,0.513,0.457
bertscore-sentence-cos-mpnet-topk-20_R,0.543,0.466,0.463,0.414
bertscore-sentence-cos-mpnet-topk-20_F,0.563,0.485,0.512,0.467
bertscore-sentence-cos-mpnet-topp-0.2_P,0.438,0.418,0.43,0.392
bertscore-sentence-cos-mpnet-topp-0.2_R,0.551,0.471,0.478,0.412
bertscore-sentence-cos-mpnet-topp-0.2_F,0.554,0.479,0.5,0.429
bertscore-sentence-cos-mpnet-topp-0.5_P,0.475,0.454,0.485,0.432
bertscore-sentence-cos-mpnet-topp-0.5_R,0.555,0.476,0.493,0.431
bertscore-sentence-cos-mpnet-topp-0.5_F,0.572,0.478,0.516,0.467
bertscore-sentence-cos-mpnet-topp-0.7_P,0.491,0.496,0.51,0.485
bertscore-sentence-cos-mpnet-topp-0.7_R,0.573,0.5,0.498,0.447
bertscore-sentence-cos-mpnet-topp-0.7_F,0.57,0.512,0.532,0.496
bertscore-sentence-cos-roberta_P,0.434,0.458,0.495,0.493
bertscore-sentence-cos-roberta_R,0.509,0.423,0.426,0.377
bertscore-sentence-cos-roberta_F,0.551,0.475,0.512,0.488
bertscore-sentence-cos-roberta-topk-5_P,0.437,0.421,0.425,0.376
bertscore-sentence-cos-roberta-topk-5_R,0.525,0.455,0.445,0.37
bertscore-sentence-cos-roberta-topk-5_F,0.511,0.45,0.467,0.387
bertscore-sentence-cos-roberta-topk-10_P,0.436,0.423,0.47,0.425
bertscore-sentence-cos-roberta-topk-10_R,0.521,0.429,0.455,0.369
bertscore-sentence-cos-roberta-topk-10_F,0.509,0.437,0.483,0.424
bertscore-sentence-cos-roberta-topk-20_P,0.44,0.437,0.488,0.445
bertscore-sentence-cos-roberta-topk-20_R,0.508,0.428,0.44,0.374
bertscore-sentence-cos-roberta-topk-20_F,0.541,0.468,0.499,0.458
bertscore-sentence-cos-roberta-topp-0.2_P,0.439,0.415,0.433,0.392
bertscore-sentence-cos-roberta-topp-0.2_R,0.521,0.455,0.45,0.378
bertscore-sentence-cos-roberta-topp-0.2_F,0.526,0.452,0.481,0.415
bertscore-sentence-cos-roberta-topp-0.5_P,0.454,0.436,0.482,0.434
bertscore-sentence-cos-roberta-topp-0.5_R,0.544,0.458,0.466,0.405
bertscore-sentence-cos-roberta-topp-0.5_F,0.554,0.472,0.502,0.453
bertscore-sentence-cos-roberta-topp-0.7_P,0.447,0.474,0.484,0.468
bertscore-sentence-cos-roberta-topp-0.7_R,0.541,0.453,0.473,0.411
bertscore-sentence-cos-roberta-topp-0.7_F,0.545,0.474,0.5,0.46
rouge_rouge1,0.638,0.541,0.477,0.391
rouge_rouge2,0.643,0.552,0.503,0.425
rouge_rougeL,0.64,0.542,0.504,0.432
rouge_rougeLsum,0.64,0.542,0.504,0.432
rouge-topk-5_rouge1,0.563,0.493,0.46,0.383
rouge-topk-5_rouge2,0.51,0.454,0.436,0.35
rouge-topk-5_rougeL,0.555,0.495,0.482,0.401
rouge-topk-5_rougeLsum,0.555,0.495,0.482,0.401
rouge-topk-10_rouge1,0.594,0.489,0.47,0.387
rouge-topk-10_rouge2,0.555,0.459,0.471,0.38
rouge-topk-10_rougeL,0.592,0.49,0.505,0.419
rouge-topk-10_rougeLsum,0.592,0.49,0.505,0.419
rouge-topk-20_rouge1,0.632,0.521,0.494,0.395
rouge-topk-20_rouge2,0.6,0.506,0.488,0.4
rouge-topk-20_rougeL,0.608,0.516,0.493,0.413
rouge-topk-20_rougeLsum,0.608,0.516,0.493,0.413
rouge-topp-0.2_rouge1,0.586,0.503,0.508,0.401
rouge-topp-0.2_rouge2,0.534,0.46,0.496,0.406
rouge-topp-0.2_rougeL,0.564,0.498,0.519,0.428
rouge-topp-0.2_rougeLsum,0.564,0.498,0.519,0.428
rouge-topp-0.5_rouge1,0.628,0.531,0.507,0.403
rouge-topp-0.5_rouge2,0.606,0.504,0.5,0.404
rouge-topp-0.5_rougeL,0.624,0.519,0.501,0.416
rouge-topp-0.5_rougeLsum,0.624,0.519,0.501,0.416
rouge-topp-0.7_rouge1,0.634,0.541,0.493,0.403
rouge-topp-0.7_rouge2,0.622,0.544,0.511,0.43
rouge-topp-0.7_rougeL,0.625,0.537,0.512,0.435
rouge-topp-0.7_rougeLsum,0.625,0.537,0.512,0.435
bleurt_scores,0.453,0.415,0.497,0.462
bleurt-topk-5_scores,0.459,0.447,0.454,0.414
