,litepyramid_recall
bertscore_precision,0.093
bertscore_recall,0.093
bertscore_f1,0.112
bertscore-topk-5_precision,0.183
bertscore-topk-5_recall,0.11
bertscore-topk-5_f1,0.161
bertscore-topk-10_precision,0.12
bertscore-topk-10_recall,0.002
bertscore-topk-10_f1,0.041
bertscore-topk-20_precision,0.046
bertscore-topk-20_recall,0.015
bertscore-topk-20_f1,0.03
bertscore-topp-0.2_precision,0.142
bertscore-topp-0.2_recall,0.186
bertscore-topp-0.2_f1,0.225
bertscore-topp-0.5_precision,0.138
bertscore-topp-0.5_recall,0.205
bertscore-topp-0.5_f1,0.191
bertscore-topp-0.7_precision,0.121
bertscore-topp-0.7_recall,0.151
bertscore-topp-0.7_f1,0.149
bertscore-sentence-cos-mpnet_P,0.038
bertscore-sentence-cos-mpnet_R,0.127
bertscore-sentence-cos-mpnet_F,0.129
bertscore-sentence-cos-mpnet-topk-5_P,0.189
bertscore-sentence-cos-mpnet-topk-5_R,0.022
bertscore-sentence-cos-mpnet-topk-5_F,0.102
bertscore-sentence-cos-mpnet-topk-10_P,0.1
bertscore-sentence-cos-mpnet-topk-10_R,-0.03
bertscore-sentence-cos-mpnet-topk-10_F,-0.004
bertscore-sentence-cos-mpnet-topk-20_P,0.068
bertscore-sentence-cos-mpnet-topk-20_R,0.075
bertscore-sentence-cos-mpnet-topk-20_F,0.084
bertscore-sentence-cos-mpnet-topp-0.2_P,0.002
bertscore-sentence-cos-mpnet-topp-0.2_R,0.141
bertscore-sentence-cos-mpnet-topp-0.2_F,0.142
bertscore-sentence-cos-mpnet-topp-0.5_P,0.004
bertscore-sentence-cos-mpnet-topp-0.5_R,0.136
bertscore-sentence-cos-mpnet-topp-0.5_F,0.137
bertscore-sentence-cos-mpnet-topp-0.7_P,0.044
bertscore-sentence-cos-mpnet-topp-0.7_R,0.146
bertscore-sentence-cos-mpnet-topp-0.7_F,0.135
bertscore-sentence-cos-roberta_P,0.041
bertscore-sentence-cos-roberta_R,0.128
bertscore-sentence-cos-roberta_F,0.134
bertscore-sentence-cos-roberta-topk-5_P,0.187
bertscore-sentence-cos-roberta-topk-5_R,0.013
bertscore-sentence-cos-roberta-topk-5_F,0.099
bertscore-sentence-cos-roberta-topk-10_P,0.091
bertscore-sentence-cos-roberta-topk-10_R,-0.023
bertscore-sentence-cos-roberta-topk-10_F,-0.0
bertscore-sentence-cos-roberta-topk-20_P,0.068
bertscore-sentence-cos-roberta-topk-20_R,0.086
bertscore-sentence-cos-roberta-topk-20_F,0.092
bertscore-sentence-cos-roberta-topp-0.2_P,-0.005
bertscore-sentence-cos-roberta-topp-0.2_R,0.138
bertscore-sentence-cos-roberta-topp-0.2_F,0.133
bertscore-sentence-cos-roberta-topp-0.5_P,0.006
bertscore-sentence-cos-roberta-topp-0.5_R,0.149
bertscore-sentence-cos-roberta-topp-0.5_F,0.141
bertscore-sentence-cos-roberta-topp-0.7_P,0.027
bertscore-sentence-cos-roberta-topp-0.7_R,0.154
bertscore-sentence-cos-roberta-topp-0.7_F,0.153
rouge_rouge1,0.209
rouge_rouge2,0.21
rouge_rougeL,0.193
rouge_rougeLsum,0.193
rouge-topk-5_rouge1,0.125
rouge-topk-5_rouge2,0.155
rouge-topk-5_rougeL,0.11
rouge-topk-5_rougeLsum,0.11
rouge-topk-10_rouge1,-0.012
rouge-topk-10_rouge2,0.023
rouge-topk-10_rougeL,0.008
rouge-topk-10_rougeLsum,0.008
rouge-topk-20_rouge1,0.015
rouge-topk-20_rouge2,0.04
rouge-topk-20_rougeL,0.017
rouge-topk-20_rougeLsum,0.017
rouge-topp-0.2_rouge1,0.194
rouge-topp-0.2_rouge2,0.21
rouge-topp-0.2_rougeL,0.192
rouge-topp-0.2_rougeLsum,0.192
rouge-topp-0.5_rouge1,0.204
rouge-topp-0.5_rouge2,0.2
rouge-topp-0.5_rougeL,0.181
rouge-topp-0.5_rougeLsum,0.181
rouge-topp-0.7_rouge1,0.189
