,consistency,relevance,coherence,fluency
bertscore_precision,0.343,0.377,0.483,0.316
bertscore_recall,0.241,0.348,0.248,0.161
bertscore_f1,0.337,0.411,0.425,0.277
bertscore-topk-5_precision,0.333,0.351,0.439,0.302
bertscore-topk-5_recall,0.311,0.34,0.267,0.221
bertscore-topk-5_f1,0.352,0.379,0.383,0.283
bertscore-topk-10_precision,0.346,0.372,0.471,0.325
bertscore-topk-10_recall,0.275,0.354,0.252,0.191
bertscore-topk-10_f1,0.35,0.408,0.41,0.292
bertscore-topk-20_precision,0.343,0.377,0.483,0.316
bertscore-topk-20_recall,0.242,0.349,0.248,0.161
bertscore-topk-20_f1,0.337,0.412,0.425,0.277
bertscore-topp-0.2_precision,0.279,0.326,0.429,0.288
bertscore-topp-0.2_recall,0.302,0.329,0.29,0.236
bertscore-topp-0.2_f1,0.316,0.355,0.384,0.281
bertscore-topp-0.5_precision,0.354,0.366,0.466,0.331
bertscore-topp-0.5_recall,0.299,0.35,0.262,0.219
bertscore-topp-0.5_f1,0.361,0.397,0.404,0.304
bertscore-topp-0.7_precision,0.354,0.369,0.475,0.326
bertscore-topp-0.7_recall,0.269,0.344,0.249,0.185
bertscore-topp-0.7_f1,0.357,0.402,0.416,0.293
bertscore-sentence-cos-mpnet_P,0.436,0.218,0.226,0.365
bertscore-sentence-cos-mpnet_R,0.224,0.257,0.086,0.121
bertscore-sentence-cos-mpnet_F,0.375,0.279,0.164,0.272
bertscore-sentence-cos-mpnet-topk-5_P,0.386,0.221,0.223,0.316
bertscore-sentence-cos-mpnet-topk-5_R,0.301,0.248,0.128,0.218
bertscore-sentence-cos-mpnet-topk-5_F,0.368,0.254,0.185,0.283
bertscore-sentence-cos-mpnet-topk-10_P,0.416,0.226,0.228,0.365
bertscore-sentence-cos-mpnet-topk-10_R,0.261,0.271,0.098,0.177
bertscore-sentence-cos-mpnet-topk-10_F,0.373,0.284,0.17,0.297
bertscore-sentence-cos-mpnet-topk-20_P,0.434,0.219,0.228,0.367
bertscore-sentence-cos-mpnet-topk-20_R,0.224,0.258,0.087,0.126
bertscore-sentence-cos-mpnet-topk-20_F,0.373,0.28,0.166,0.279
bertscore-sentence-cos-mpnet-topp-0.2_P,0.351,0.218,0.226,0.293
bertscore-sentence-cos-mpnet-topp-0.2_R,0.304,0.246,0.145,0.225
bertscore-sentence-cos-mpnet-topp-0.2_F,0.349,0.248,0.195,0.275
bertscore-sentence-cos-mpnet-topp-0.5_P,0.4,0.215,0.222,0.352
bertscore-sentence-cos-mpnet-topp-0.5_R,0.276,0.261,0.105,0.206
bertscore-sentence-cos-mpnet-topp-0.5_F,0.367,0.265,0.171,0.301
bertscore-sentence-cos-mpnet-topp-0.7_P,0.427,0.215,0.222,0.359
