,litepyramid_recall
bertscore_precision,0.214
bertscore_recall,0.314
bertscore_f1,0.315
bertscore-topk-5_precision,0.341
bertscore-topk-5_recall,0.384
bertscore-topk-5_f1,0.418
bertscore-topk-10_precision,0.31
bertscore-topk-10_recall,0.251
bertscore-topk-10_f1,0.324
bertscore-topk-20_precision,0.229
bertscore-topk-20_recall,0.271
bertscore-topk-20_f1,0.29
bertscore-topp-0.2_precision,0.243
bertscore-topp-0.2_recall,0.305
bertscore-topp-0.2_f1,0.366
bertscore-topp-0.5_precision,0.277
bertscore-topp-0.5_recall,0.335
bertscore-topp-0.5_f1,0.366
bertscore-topp-0.7_precision,0.28
bertscore-topp-0.7_recall,0.335
bertscore-topp-0.7_f1,0.353
bertscore-sentence-cos-mpnet_P,0.139
bertscore-sentence-cos-mpnet_R,0.123
bertscore-sentence-cos-mpnet_F,0.146
bertscore-sentence-cos-mpnet-topk-5_P,0.26
bertscore-sentence-cos-mpnet-topk-5_R,0.307
bertscore-sentence-cos-mpnet-topk-5_F,0.327
bertscore-sentence-cos-mpnet-topk-10_P,0.22
bertscore-sentence-cos-mpnet-topk-10_R,0.172
bertscore-sentence-cos-mpnet-topk-10_F,0.22
bertscore-sentence-cos-mpnet-topk-20_P,0.183
bertscore-sentence-cos-mpnet-topk-20_R,0.116
bertscore-sentence-cos-mpnet-topk-20_F,0.156
bertscore-sentence-cos-mpnet-topp-0.2_P,0.117
bertscore-sentence-cos-mpnet-topp-0.2_R,0.234
bertscore-sentence-cos-mpnet-topp-0.2_F,0.239
bertscore-sentence-cos-mpnet-topp-0.5_P,0.115
bertscore-sentence-cos-mpnet-topp-0.5_R,0.166
bertscore-sentence-cos-mpnet-topp-0.5_F,0.195
bertscore-sentence-cos-mpnet-topp-0.7_P,0.146
bertscore-sentence-cos-mpnet-topp-0.7_R,0.149
bertscore-sentence-cos-mpnet-topp-0.7_F,0.182
bertscore-sentence-cos-roberta_P,0.128
bertscore-sentence-cos-roberta_R,0.178
bertscore-sentence-cos-roberta_F,0.196
bertscore-sentence-cos-roberta-topk-5_P,0.237
bertscore-sentence-cos-roberta-topk-5_R,0.324
bertscore-sentence-cos-roberta-topk-5_F,0.329
bertscore-sentence-cos-roberta-topk-10_P,0.217
bertscore-sentence-cos-roberta-topk-10_R,0.228
bertscore-sentence-cos-roberta-topk-10_F,0.256
bertscore-sentence-cos-roberta-topk-20_P,0.173
bertscore-sentence-cos-roberta-topk-20_R,0.187
bertscore-sentence-cos-roberta-topk-20_F,0.211
bertscore-sentence-cos-roberta-topp-0.2_P,0.09
bertscore-sentence-cos-roberta-topp-0.2_R,0.254
bertscore-sentence-cos-roberta-topp-0.2_F,0.248
bertscore-sentence-cos-roberta-topp-0.5_P,0.083
bertscore-sentence-cos-roberta-topp-0.5_R,0.218
bertscore-sentence-cos-roberta-topp-0.5_F,0.234
bertscore-sentence-cos-roberta-topp-0.7_P,0.13
bertscore-sentence-cos-roberta-topp-0.7_R,0.208
bertscore-sentence-cos-roberta-topp-0.7_F,0.232
rouge_rouge1,0.231
rouge_rouge2,0.26
rouge_rougeL,0.279
rouge_rougeLsum,0.279
rouge-topk-5_rouge1,0.409
rouge-topk-5_rouge2,0.443
rouge-topk-5_rougeL,0.401
rouge-topk-5_rougeLsum,0.401
rouge-topk-10_rouge1,0.255
rouge-topk-10_rouge2,0.367
rouge-topk-10_rougeL,0.361
rouge-topk-10_rougeLsum,0.361
rouge-topk-20_rouge1,0.224
rouge-topk-20_rouge2,0.294
rouge-topk-20_rougeL,0.32
rouge-topk-20_rougeLsum,0.32
rouge-topp-0.2_rouge1,0.323
rouge-topp-0.2_rouge2,0.391
rouge-topp-0.2_rougeL,0.359
rouge-topp-0.2_rougeLsum,0.359
rouge-topp-0.5_rouge1,0.271
rouge-topp-0.5_rouge2,0.323
rouge-topp-0.5_rougeL,0.347
rouge-topp-0.5_rougeLsum,0.347
rouge-topp-0.7_rouge1,0.253
rouge-topp-0.7_rouge2,0.291
rouge-topp-0.7_rougeL,0.308
rouge-topp-0.7_rougeLsum,0.308
bleurt_scores,0.325
bleurt-topk-5_scores,0.486
bleurt-topk-10_scores,0.394
bleurt-topk-20_scores,0.324
bleurt-topp-0.2_scores,0.461
bleurt-topp-0.5_scores,0.375
bleurt-topp-0.7_scores,0.367
bertscore-sentence-mnli-roberta-not_neutral_P,0.052
bertscore-sentence-mnli-roberta-not_neutral_R,0.122
bertscore-sentence-mnli-roberta-not_neutral_F,0.126
bertscore-sentence-mnli-roberta-entail_only_P,0.161
bertscore-sentence-mnli-roberta-entail_only_R,0.161
bertscore-sentence-mnli-roberta-entail_only_F,0.2
bertscore-sentence-mnli-roberta-entail_contradict_P,0.149
bertscore-sentence-mnli-roberta-entail_contradict_R,0.101
bertscore-sentence-mnli-roberta-entail_contradict_F,0.192
bertscore-sentence-mnli-bart-not_neutral_P,-0.062
bertscore-sentence-mnli-bart-not_neutral_R,0.035
bertscore-sentence-mnli-bart-not_neutral_F,0.035
bertscore-sentence-mnli-bart-entail_only_P,0.277
bertscore-sentence-mnli-bart-entail_only_R,0.182
bertscore-sentence-mnli-bart-entail_only_F,0.232
bertscore-sentence-mnli-bart-entail_contradict_P,0.273
bertscore-sentence-mnli-bart-entail_contradict_R,0.18
bertscore-sentence-mnli-bart-entail_contradict_F,0.147
bertscore-sentence-mnli-deberta-not_neutral_P,0.118
bertscore-sentence-mnli-deberta-not_neutral_R,0.074
bertscore-sentence-mnli-deberta-not_neutral_F,0.088
bertscore-sentence-mnli-deberta-entail_only_P,0.273
bertscore-sentence-mnli-deberta-entail_only_R,0.19
bertscore-sentence-mnli-deberta-entail_only_F,0.227
bertscore-sentence-mnli-deberta-entail_contradict_P,0.269
bertscore-sentence-mnli-deberta-entail_contradict_R,0.196
bertscore-sentence-mnli-deberta-entail_contradict_F,0.192
bertscore-anyref-bart-default_precision,0.396
bertscore-anyref-bart-default_recall,0.367
bertscore-anyref-bart-default_f1,0.413
bertscore-anyref-bart-min-0.2-0.5_precision,0.409
bertscore-anyref-bart-min-0.2-0.5_recall,0.326
bertscore-anyref-bart-min-0.2-0.5_f1,0.406
bertscore-anyref-bart-min-0.5-0.7_precision,0.409
bertscore-anyref-bart-min-0.5-0.7_recall,0.326
bertscore-anyref-bart-min-0.5-0.7_f1,0.406
bertscore-anyref-bart-mean-0.2-0.5_precision,0.409
bertscore-anyref-bart-mean-0.2-0.5_recall,0.326
bertscore-anyref-bart-mean-0.2-0.5_f1,0.406
bertscore-anyref-bart-mean-0.5-0.7_precision,0.409
bertscore-anyref-bart-mean-0.5-0.7_recall,0.326
bertscore-anyref-bart-mean-0.5-0.7_f1,0.406
bertscore-anyref-bart-constant-16-32_precision,0.409
bertscore-anyref-bart-constant-16-32_recall,0.326
bertscore-anyref-bart-constant-16-32_f1,0.406
bertscore-anyref-bart-constant-32-64_precision,0.409
bertscore-anyref-bart-constant-32-64_recall,0.326
bertscore-anyref-bart-constant-32-64_f1,0.406
bertscore-anyref-pegasus-xsum-default_precision,-0.104
bertscore-anyref-pegasus-xsum-default_recall,0.081
bertscore-anyref-pegasus-xsum-default_f1,-0.018
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.104
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.081
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,-0.018
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.104
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.081
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,-0.018
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.104
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.081
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,-0.018
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.104
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.081
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,-0.018
bertscore-anyref-pegasus-xsum-constant-16-32_precision,-0.029
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.225
bertscore-anyref-pegasus-xsum-constant-16-32_f1,0.118
bertscore-anyref-pegasus-xsum-constant-32-64_precision,0.14
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.264
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.225
rouge-anyref-bart-default_rouge1,0.407
rouge-anyref-bart-default_rouge2,0.383
rouge-anyref-bart-default_rougeL,0.379
rouge-anyref-bart-default_rougeLsum,0.379
rouge-anyref-bart-min-0.2-0.5_rouge1,0.394
rouge-anyref-bart-min-0.2-0.5_rouge2,0.366
rouge-anyref-bart-min-0.2-0.5_rougeL,0.365
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.365
rouge-anyref-bart-min-0.5-0.7_rouge1,0.394
rouge-anyref-bart-min-0.5-0.7_rouge2,0.366
rouge-anyref-bart-min-0.5-0.7_rougeL,0.365
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.365
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.394
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.366
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.365
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.365
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.394
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.366
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.365
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.365
rouge-anyref-bart-constant-16-32_rouge1,0.394
rouge-anyref-bart-constant-16-32_rouge2,0.366
rouge-anyref-bart-constant-16-32_rougeL,0.365
